Admission,Registrar,Guidance Office,Health Services/Clinic,Library Services,Student Publication,Scholarship Services,Student Services Office,Comment,Semester,AcadYear,Block,College
5,5,5,5,5,5,5,5,mas magpatuloy pa ang maayos na sistema.,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,mas mainam na komunikasyon para sa mga estudyante nangangailangan ng tulong o may problemang kinahaharap pagdating sa akademikong usapin,1st Semester,2022-2023,4A,IFMS
4,4,5,3,4,5,4,5,mas maipaayos ang pagtuturo sa mga estudyante lalo na ngayong panahon ng pandemya. thank you po!,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas makakatulong kung mag kakaroon ng madalas na seminar na patungkol naman sa mental health ng mga estudyante,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas malawak ang pagpaparating ng mga maahalagang impormasyon o announcements. sana mag f2f na . :),1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,mas malawak ang pagpaparating ng mga maahalagang impormasyon o announcements. sana mag f2f na . :),1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas malawak ang pagpaparating ng mga maahalagang impormasyon o announcements. sana mag f2f na . :),1st Semester,2022-2023,4A,CCMS
4,4,4,4,4,4,4,4,mas malawak ang pagpaparating ng mga maahalagang impormasyon o announcements. sana mag f2f na . :),1st Semester,2022-2023,4A,IFMS
5,4,5,5,5,5,5,5,mas malawak na pag-unawa sa lahat ng mag-aaral. maraming salamat po!,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas mapaayos at mapabilis pa ang proseso ng registrar office.,1st Semester,2022-2023,4A,CCMS
4,4,4,4,4,4,4,4,mas mapabilis at mas maisaayus ang pag bibigay ng mga services para sa mga students.,1st Semester,2022-2023,4A,IFMS
4,3,4,4,3,4,4,4,mas mapabuti ang kalidad ng mga serbisyo,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas mapabuti ang online appointment form ng institusyon,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas mapabuti ang online appointment form ng institusyon,1st Semester,2022-2023,4A,IFMS
4,4,4,4,4,3,4,4,mas mapabuti ang online appointment form ng institusyon,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas mapanatiling maayos at maaasahan ang bawat departamento,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas mapanatiling maayos at maaasahan ang bawat departamento,1st Semester,2022-2023,4A,IFMS
4,4,4,5,5,4,4,4,mas mapanatiling maayos at maaasahan ang bawat departamento,1st Semester,2022-2023,4A,BS-Fisheries
4,4,4,4,4,4,4,4,mas organized na learning port,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas pabatalihin at pa usbungin pa ang mga serbisyo,1st Semester,2022-2023,4A,IFMS
4,4,4,4,4,4,4,4,mas padaliin ang proseso ng pagkuha ng mga dukumento,1st Semester,2022-2023,4A,BS-Fisheries
4,4,4,4,4,4,4,4,mas pag butihin,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas pag butihin pa natin.,1st Semester,2022-2023,4A,IFMS
4,4,4,4,4,4,4,4,mas pag tounan ng pansin ang mga may mababang puntos base sa survey results sa bawat pamamahala ng organization.,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas pagandahin pa ang sistema at serbisyo ng camarines norte state college,1st Semester,2022-2023,4A,CCMS
5,5,4,4,4,4,4,4,mas pagbutihan pa ang mga serbisyong ibinabahagi.,1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,"mas pagbutihin pa ang gampanin ng bawat empleyando upang mas lalong mapanatili ang serbisyo nang mahusay, dekalidad at maayos ng cnsc",1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas pagbutihin pa ang serbisyo at ituloy ang mga nasimulang proyekto upang mas maging maayos at maunlad ang bawat isa.,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas pagbutihin pa po nila ang kanilang ginagawa at mas bigyan sana ng kunting pag-iintindi ang mga estudyante at makipag-usap at magpaliwanag ng mas maayos para naman po hindi mapapahiya ang mga mag-aaral.,1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,mas pagbutihin pa.,1st Semester,2022-2023,4A,BS-Fisheries
4,4,4,3,4,3,3,3,mas paghusayan pa po yung serbisyo.,1st Semester,2022-2023,4A,CCMS
4,3,3,3,3,3,4,4,mas paghusayin at mas galingan,1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,mas pagtibayin ang mga pagsusuri at obserbasyon sa mga mag-aaral at sa mga pasilidad upang mas matugunan ang mga pangangailangan ng mga tao sa hinaharap.,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,4,4,5,5,mas pagtibayin ang mga pagsusuri at obserbasyon sa mga mag-aaral at sa mga pasilidad upang mas matugunan ang mga pangangailangan ng mga tao sa hinaharap.,1st Semester,2022-2023,4A,CCMS
4,4,4,4,4,4,4,4,mas pagtibayin ang mga pagsusuri at obserbasyon sa mga mag-aaral at sa mga pasilidad upang mas matugunan ang mga pangangailangan ng mga tao sa hinaharap.,1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,mas pagtibayin ang mga pagsusuri at obserbasyon sa mga mag-aaral at sa mga pasilidad upang mas matugunan ang mga pangangailangan ng mga tao sa hinaharap.,1st Semester,2022-2023,4A,BS-Fisheries
4,4,5,5,5,5,5,5,mas pagtibayin pa ang serbisyo at mapanatili ang siguridad ng mga mag-aaral,1st Semester,2022-2023,4A,CCMS
4,4,4,4,4,4,4,4,"mas paigtingin papo , para maraming studyante ang mag aral at may tiyak na kauyusan sa lahat ng mag aaral.",1st Semester,2022-2023,4A,IFMS
4,4,4,4,4,4,4,4,"mas pakinggan ang mga hinaing ng bawat estudyante, guro at ang ibang bahagi ng ating paaralan.",1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,"mas palawakin ang distribution of information, para sa mga student na hindi na iinform agad.",1st Semester,2022-2023,4A,CCMS
3,5,4,4,4,5,5,5,mas palawakin ang serbisyo para sa mga mga aaral.,1st Semester,2022-2023,4A,IFMS
2,2,3,3,3,3,3,3,mas palawakin pa ang pagdidisseminate ng mga impormasyon na nararapat malaman ng karamihan,1st Semester,2022-2023,4A,BS-Fisheries
5,5,4,4,4,4,5,5,mas palawakin pa ang system pagdating sa mga pinapasagutan sa online,1st Semester,2022-2023,4A,CCMS
4,4,4,4,4,4,4,4,mas palawakin pa at gumawa ng ibang paraan sa pagpag papaabot ng anunsyo o mga programa.,1st Semester,2022-2023,4A,IFMS
5,5,5,5,5,5,5,5,mas panatilhin pong maayos ang serbisyo,1st Semester,2022-2023,4A,BS-Fisheries
4,4,4,4,4,4,3,4,mas panatilihin ang kalidad ng serbisyo para sa mga estudyante.,1st Semester,2022-2023,4A,CCMS
5,5,5,5,5,5,5,5,mas panatilihin pa na maayos ang serbisyo dahil maayos naman ngayon,1st Semester,2022-2023,4A,IFMS
4,4,5,5,5,5,5,5,mas paunlarin ang mga programa para sa ikauunlad at kalidad ng edukasyon.,1st Semester,2022-2023,4A,BS-Fisheries
5,5,5,5,5,5,5,5,mas payabungin pa ang sistema para sa mga mag aaral,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,5,5,5,mas pokusan ang mga estudyante sa pag-aaral at bigyan ng impormasyong makakapalawak ng kaalaman.,2nd Semester,2022-2023,4B,IFMS
5,5,5,5,5,5,5,5,mas tuunan ng pansin ang mga hinaing ng mga estudyante,2nd Semester,2022-2023,4B,BS-Fisheries
4,3,3,3,3,3,3,3,masasabe ko bilang isang mag-aaral na maayos ang pamamalakad ng bawat kasapi na bumubuo sa cnsc. ang bawat isa ay ginagawa ng mabuti ang bawat gawain.,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,5,5,5,masasabe ko bilang isang mag-aaral na maayos ang pamamalakad ng bawat kasapi na bumubuo sa cnsc. ang bawat isa ay ginagawa ng mabuti ang bawat gawain.,2nd Semester,2022-2023,4B,IFMS
5,5,5,5,5,5,5,5,masasabe ko bilang isang mag-aaral na maayos ang pamamalakad ng bawat kasapi na bumubuo sa cnsc. ang bawat isa ay ginagawa ng mabuti ang bawat gawain.,2nd Semester,2022-2023,4B,BS-Fisheries
5,5,5,5,5,5,5,5,masaya ako at talaga namang satisfied sa ibinibigay na serbisyo ng camarines norte state college,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,5,5,5,masayang mag aral sa cnsc. god bless po sa lahat.,2nd Semester,2022-2023,4B,IFMS
4,2,2,3,4,5,5,5,masbigyang pansin ang mga problema ng studyante,2nd Semester,2022-2023,4B,BS-Fisheries
4,4,4,4,3,4,4,4,mass lalong pagandahin ang image ng cnsc at wag mag sawa na suportahan ang pangarap ng kabataan,2nd Semester,2022-2023,4B,CCMS
4,4,4,4,4,4,4,4,matulongan ang nga estudyante na lubos na nangangailangan.,2nd Semester,2022-2023,4B,IFMS
5,5,4,4,4,4,4,4,matulongan ang nga estudyante na lubos na nangangailangan.,2nd Semester,2022-2023,4B,BS-Fisheries
4,4,4,4,4,4,4,4,matutong sumunod sa pagpaayos ng ating paaralan at magkaroon ng magandang samahan ang mga estudyante at guro.,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,5,5,5,may all these services be consistent in the long run.,2nd Semester,2022-2023,4B,IFMS
4,4,4,4,4,3,4,4,may maaayos na serbisyo ang cnsc sa mag estudyante tulad ko.,2nd Semester,2022-2023,4B,BS-Fisheries
5,5,5,5,5,5,5,5,may maaayos na serbisyo sa bawat mag aaral ang mga organization at mga opisina na nasa main ng camarines norte state college.,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,5,5,5,may maayos at dekalidad na serbisyo ang cnsc. mababait din ang mga staffs. sana magpatuloy lang ang mga magagandang ginagawa ng ating paaralan.,2nd Semester,2022-2023,4B,IFMS
5,4,5,5,4,4,5,5,may maayos na na dekalidad na serbisyo,2nd Semester,2022-2023,4B,BS-Fisheries
5,5,5,5,5,5,5,5,may maayos na pag papatupad at may magandang hangarin upang mas mapanatili ito,2nd Semester,2022-2023,4B,CCMS
4,5,5,5,5,5,5,5,may maayos na serbisyo ang cnsc,2nd Semester,2022-2023,4B,IFMS
5,5,5,5,5,5,5,5,may mabilis na proseso lagi,2nd Semester,2022-2023,4B,BS-Fisheries
4,5,5,5,5,5,5,5,may mga bagay o programa para mahobog ang mga kaalaman ng mga istudyante,2nd Semester,2022-2023,4B,CCMS
4,4,4,4,4,4,4,4,may mga progra upang malinang ang kaalaman ng mga estudyante o kabata at kaalaman,2nd Semester,2022-2023,4B,IFMS
3,3,3,3,3,3,3,3,may mga programa na tutulong sa mga mag aaral,2nd Semester,2022-2023,4B,BS-Fisheries
4,5,4,4,4,4,5,5,may pagkakaisa at patuloy na gampanan ng maayos ang bawat tungkulin sa paaralan,2nd Semester,2022-2023,4B,CCMS
5,5,5,5,5,4,4,4,maybe if theres already an online appointment documents request by the students will be better if it can be delivered on gmail and online payment.,2nd Semester,2022-2023,4B,IFMS
5,5,5,5,5,5,5,5,maybe if theres already an online appointment documents request by the students will be better if it can be delivered on gmail and online payment.,2nd Semester,2022-2023,4B,BS-Fisheries
4,4,4,4,4,5,4,5,maybe if theres already an online appointment documents request by the students will be better if it can be delivered on gmail and online payment.,2nd Semester,2022-2023,4B,CCMS
5,5,4,5,4,5,5,4,maybe if theres already an online appointment documents request by the students will be better if it can be delivered on gmail and online payment.,2nd Semester,2022-2023,4B,IFMS
5,5,5,5,5,5,5,5,mayos ang lahat ng mga opisina/tangapan ng paaralan. maraming salamat sa maayos ma serbisyo.,2nd Semester,2022-2023,4B,BS-Fisheries
5,4,5,5,5,5,5,5,mayos na proseso at magandang transaction.,2nd Semester,2022-2023,4B,CCMS
3,4,4,4,4,4,4,4,meet the requirements set for cnsc to become a university,2nd Semester,2022-2023,4B,IFMS
3,3,3,3,3,3,3,3,minsan mabagal ang proseso pero nagagawa naman ng maayos.,2nd Semester,2022-2023,4B,BS-Fisheries
5,5,4,5,5,5,5,5,minumungkahi ko po na magkaroon ng scheduled face to face class next year. salamat po,2nd Semester,2022-2023,4B,CCMS
5,5,4,4,4,5,5,5,more activities,2nd Semester,2022-2023,4B,IFMS
4,4,4,5,5,5,5,4,more books accessible through online library,2nd Semester,2022-2023,4B,BS-Fisheries
4,4,5,4,5,4,4,5,more encouragement and interesting events that is related to the course,2nd Semester,2022-2023,4B,CCMS
3,4,4,4,4,4,4,4,more interactive learning.,2nd Semester,2022-2023,4B,IFMS
4,4,5,4,5,4,5,5,more of good attitude :)),2nd Semester,2022-2023,4B,BS-Fisheries
5,5,5,5,5,5,5,5,more patience in every clarifications from students. thank you and god blessðÿ˜š,2nd Semester,2022-2023,4B,CCMS
4,4,4,4,4,4,4,4,more power,2nd Semester,2022-2023,4B,IFMS
4,5,4,3,5,5,5,5,more responsible,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,more seminars or training for students to use in their future careers.,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,mungkahi ko ang pagkakaroon ng e-library o maaaring pagpayag sa paggamit ng mag aaral ng library na maaaring magkarron lamang ng limitasyon sa bilang ng tao kada araw upang mas mapakinabangan ito ng mga mag aaral.,1st Semester,2021-2022,1A,IFMS
4,4,4,5,5,4,5,5,must always be available to the queries of students,1st Semester,2021-2022,1A,BS-Fisheries
5,4,4,4,4,5,5,5,my maayos at dekalidad na na serbisyo ang cnsc,1st Semester,2021-2022,1A,CCMS
3,3,3,3,3,3,3,3,my only concern is that when can we experience that facilities,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,naging maayos naman ang pamamahala ng eskuwelahan para sa mga katulad kong estudyante,1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,4,4,4,nais ko sanang ipahiwatig na magakatoon ng mas mabilisang proseso ang registrar at piliin ng mabusisi ang mga eatudyante na ngangailangan ng scholar o assistance,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,"naniniwala ako na ang serbisyo na hinahatid ng mga empleyado ng camarines norte state college ay sapat na at talagang nakakapagbigay ng tulong sa mga mag-aaral na katulad ko, kung kaya't wala na akong maibibigay pa na suhestiyon.",1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,napaka ayos,1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,4,4,4,napaka ayos at napalinaw ng mga impormasyon na ibinibigay ng cnsc,1st Semester,2021-2022,1A,CCMS
4,4,3,3,4,4,4,4,napaka ganda at napaka ayus ng dekalidad na serbisyo ng camarines norte state college,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,napaka gandang school na maerurukemenda ko sa ibang tao,1st Semester,2021-2022,1A,BS-Fisheries
5,4,4,4,4,4,4,4,"napaka-ayos na ng serbisyo ng camarines norte state college, sana'y maipatuloy pa ito hanggang sa hinaharap ng sa gayo'y mas gumanda pa ang ating minamahal na paaralan.",1st Semester,2021-2022,1A,CCMS
4,4,4,4,4,4,4,4,napakaayos ng kalidad ng pagtuturo at serbisyo ng camarines norte state college kung kaya't wala na akong maidaragdag na komento ukol dito.,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,napakagandang may mga programa na magpapalinang o huhubog sa mga talento o kaalaman ng mga students.,1st Semester,2021-2022,1A,BS-Fisheries
3,3,3,4,3,4,4,4,"napakaraming programa, alituntunin at iba pang mga gawain ang takakatulong sa aming mga student ng cnsc. upang ito ay mapaunlad, at hindi lamang mapanatili kailangan ang patuloy na pakikipag ugnayan ng student sa ibat ibang staff ng cnsc. sa panahon ng pandemya na ating kinahaharap, may mga plataporma tayong nagagamit upang makasabay at mapanatili ang magandang serbisyo at dekalidad na pag aaral.",1st Semester,2021-2022,1A,CCMS
4,4,4,4,4,4,4,4,nasa maayos na pamamalakad at kalidad na edukasyon,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,nasiyahan ako sa dekalidad na serbisyo ng cnsc. sana ay magpatuloy ang mahusay na paglilingkod para sa mga mag-aaral.,1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,4,4,4,"nasiyahan na ako sa mga serbisyo na naipakita at maayos na naibahagi sa lahat. ipagpatuloy niyo lamang po itong serbisyo para sa lahat, laking bagay na po sa amin na may maayos na serbisyo ang cnsc para sa aming mga estudyante. maraming salamat po.",1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,"nauunawaan ko po na may mga difficulties dahil pa rin sa pandemya, ngunit satisfied naman ako sa serbisyo ng lahat ng nabanggit na opisina.",1st Semester,2021-2022,1A,IFMS
3,3,3,3,3,3,3,3,nawa ay mapanatiling maayos ang serbisyo.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,4,5,5,5,nawa ay mapanatiling maayos ang serbisyo.,1st Semester,2021-2022,1A,CCMS
4,4,4,4,4,3,3,3,nawa ay mapanatiling maayos ang serbisyo.,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,nawa patuloy lang nilang bigyan ng kalidad na edukasyon ang bawat mag-aaral ng camarines norte state college,1st Semester,2021-2022,1A,BS-Fisheries
4,3,5,4,3,4,3,3,nawa po ay hindi mabago ang sistema ng paaralan upang patuloy ang dekalidad na serbisyo.,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,"nawa po ay maging maayos ang pamamalakad ng bawat isa. walang korapsyon na nagaganap at wala ring panggugulang sa mga istudyante. nawa ay magkaroon ng maayos na serbisyo ang bawat sektor. kung hindi pa ito ang best, nawa ay maging mas mataas pa ang antas ng serbisyo.",1st Semester,2021-2022,1A,IFMS
5,5,4,5,5,5,5,5,"nawa po'y pakinggan ninyo ang mga hinaing ng bawat isa, maging estudyante man o guro pagdating sa new norm o online class.",1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,naway ipagpatuloy pa ang lahat ng magagandang serbisyo sa lahat ng studyante ng cnscâ¤ï¸,1st Semester,2021-2022,1A,CCMS
5,4,5,4,5,5,5,5,"naway mag ingat ang lahat, at bigyang aksyon ang mga estudyanting na ngangay langan ng financial.",1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,naway maging maayos ang pamamalakad ng bagong president ng cnsc,1st Semester,2021-2022,1A,BS-Fisheries
5,5,4,5,5,4,5,5,nawa'y maging mas maayos pa para mas lalong umunlad ang cnsc.,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,nawa'y maging produktibo at masagana ang ating paaralan sa mga dadating na panahon.,1st Semester,2021-2022,1A,IFMS
3,4,3,3,3,4,3,4,nawa'y maging produktibo at masagana ang ating paaralan sa mga dadating na panahon.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,"nawa'y magkaroon ng mga instruktor na patuloy na nagbibigay konsiderasyon at nakaka-unawa sa sitwasyon o kalagayan ng mga estudyante nito, gaya na lamang sa mga working student.",1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,nawa'y magpatuloy ang magandang sistema ng paaralan hanggang sa hinaharap.,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,nawa'y maipagpatuloy ang maganda at dekalidad na serbisyo para mas lalong umunlad ang paaralang cnsc.,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,naway mas lalo pang magkaunawaan ang mga nagtuturo at ang mga mag-aaral.,1st Semester,2021-2022,1A,CCMS
4,3,4,4,4,4,3,4,nawa'y mas lalong mapaunlad ito nang sa ganon ay mas mapanatili pa ang kaayusan nito at ang dekalidad na serbisyo ng camarines norte state college.,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,nawa'y mas padalasin ang pagbibigay update sa mga scholarship na maaaring pasukan ng bawat estudyante.,1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,5,4,4,nawa'y panatilihing maayos ang serbisyo sa registrar,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,nawa'y tuloy tuloy ang maganda at maayos na pakikipag komunikasyon ng mga staff sa aming mga estudyante,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,need an improvement if necessary hihi,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,"need to be ready and much more prepared, evaluate and test the platform multiple times and alot more time beta testing before launching it publicly.",1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,net lng po problema wla ng iba haha,1st Semester,2021-2022,1A,IFMS
4,4,4,4,4,4,4,4,"ngayong flexible na ang learning system, dapat na ring maging flexible ang mga serbisyo ng eskwelahan upang mas maging accessible ang mga ito sa lahat lalo na sa mga estudyante.",1st Semester,2021-2022,1A,BS-Fisheries
4,4,4,4,4,4,4,4,no comment because cnsc's service is good and quality.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,no comment na po kasi napaka maayos naman po lahat ng serbisyo ng cnsc,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,no further comment about camarines norte state college's services,2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,5,5,5,5,"none, it is already good based from my opinion. although there are some problems that exists in the process, still the operations outcomes is always successful so it's already good for me.",2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,"none, since it is in my experience it is great so far.",2nd Semester,2021-2022,1B,IFMS
4,5,5,4,5,5,5,5,"none, the service of cnsc satisfied me",2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,none. all of the service that camarines norte state college is satisfactory.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,none. thank you,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,none.the school give best services for the clientele.,2nd Semester,2021-2022,1B,BS-Fisheries
5,4,5,4,5,5,4,5,"not a comment, but i'm looking forward to face-to-face classes, even if they're just once a week so that we can get to actually experience the facilities of our school.",2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,"not a comment, but i'm looking forward to face-to-face classes, even if they're just once a week so that we can get to actually experience the facilities of our school.",2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,"not a comment, but i'm looking forward to face-to-face classes, even if they're just once a week so that we can get to actually experience the facilities of our school.",2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,5,5,5,5,"not a comment, but i'm looking forward to face-to-face classes, even if they're just once a week so that we can get to actually experience the facilities of our school.",2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,not only quality education that need to focus on but the teachers and other faculties are need to take care and listen to.,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,nothing at all,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,"nothing else to say, i'm already satisfied. just keep it up future university of camarines norte. â™¥",2nd Semester,2021-2022,1B,CCMS
5,4,4,4,5,5,5,4,nothing in particular,2nd Semester,2021-2022,1B,IFMS
3,4,4,4,4,4,4,4,"nothing more, nothing less, it's enough na po.",2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,nothing overall it's all good,2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,nothing so far so good naman ang serbisyo ng camarines norte state college sa mga estudyante.,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,"nothing so far, i'm satisfied po.",2nd Semester,2021-2022,1B,BS-Fisheries
3,4,5,4,4,4,5,4,nothing to add,2nd Semester,2021-2022,1B,CCMS
5,4,4,5,4,4,4,4,office staff and other personal should always be professional and hospitalized,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,"ok naman lahat, pero yong ibang activity hindi magawa dahil sa pandemya",2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,"ok naman lahat, pero yong ibang activity hindi magawa dahil sa pandemya",2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,"ok naman po ang service na ibinibigay ng every unit. the problem lang po is yung sa online class may mga students na hindi nakakasabay, especially sa mga 1st year students. and nahihirap din kase may mga places na mahina ang net waiting po kami sa face to face classes. yun lang po, have a great day ðÿ¥°",2nd Semester,2021-2022,1B,IFMS
5,4,4,4,5,5,5,5,ok naman po lahat,2nd Semester,2021-2022,1B,BS-Fisheries
4,5,5,5,5,4,4,5,ok naman po wla naman problema saken,2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,okay din naman ang online class para sa mga studyante dahil pandemic ngayon pero mas maganda talaga pag actual at pisikal na nakakaligtaan ng mga guro at studyante ang pagsusulit na nagsasama dahil dito mas lalo nilang maiintindihan ang lahat ng pinagaaralan ðÿ’š,2nd Semester,2021-2022,1B,IFMS
4,5,5,5,5,5,5,5,"okay lang naman, panatilihin lang ang magagandang proseso at maari ring mag upgrade upang mapadali lalo ang mga proceso",2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,okay lng ipagpatuloy nyo lng ung inyong ginagawa at tumolong,2nd Semester,2021-2022,1B,CCMS
4,4,3,4,5,4,4,4,okay naman,2nd Semester,2021-2022,1B,IFMS
4,4,5,5,4,4,4,4,okay naman,2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,4,4,4,4,okay naman,2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,5,5,okay naman kailangan pa ng mas mag improved.,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,okay naman na po,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,4,4,4,4,4,5,okay naman na po,2nd Semester,2021-2022,1B,CCMS
5,5,5,4,4,4,4,4,okay naman na po,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,okay naman po,2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,5,5,4,4,5,okay naman po ang lahat,2nd Semester,2021-2022,1B,CCMS
2,2,3,2,2,3,3,2,okay naman po ang lahat wala na akong masasabi. salamat po!,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,okay naman po ang pamamalakad upang mas mapanatili na maayos ang school.,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,okay naman po ang school. satisfied na po ako sa service nito.,1st Semester,2022-2023,1C,CCMS
5,4,5,4,5,4,4,4,okay naman po ang serbisyo.. maganda naman po,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,okay naman po ang services ng cnsc do masusungit hehe,1st Semester,2022-2023,1C,BS-Fisheries
4,4,3,4,4,4,4,4,okay naman po ang services ng cnsc do masusungit hehe,1st Semester,2022-2023,1C,CCMS
5,5,5,5,5,5,5,5,okay naman po ang services ng cnsc do masusungit hehe,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,okay naman po ang services ng cnsc do masusungit hehe,1st Semester,2022-2023,1C,BS-Fisheries
4,3,5,4,3,5,3,5,okay naman po ang services ng cnsc do masusungit hehe,1st Semester,2022-2023,1C,CCMS
5,5,5,5,5,5,5,5,"okay naman po, wala po akong masabi sa ngayon",1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,"okay naman, as of now pero po yung f2f grad po sana ðÿ¤žðÿ˜…",1st Semester,2022-2023,1C,BS-Fisheries
4,4,4,4,4,4,4,4,oks naman,1st Semester,2022-2023,1C,CCMS
5,5,5,5,5,5,5,5,oky namn po siya lahat at na iitindihan lahat ng guidelines ng inyong paaralan salamat po!,1st Semester,2022-2023,1C,IFMS
